,TradeGroup,Ticker,PM_BASE_CASE,Outlier,BASE_CASE_NAV_IMPACT_AED,BASE_CASE_NAV_IMPACT_ARB,BASE_CASE_NAV_IMPACT_CAM,BASE_CASE_NAV_IMPACT_LEV,BASE_CASE_NAV_IMPACT_LG,BASE_CASE_NAV_IMPACT_MACO,BASE_CASE_NAV_IMPACT_MALT,BASE_CASE_NAV_IMPACT_TAQ,OUTLIER_NAV_IMPACT_AED,OUTLIER_NAV_IMPACT_ARB,OUTLIER_NAV_IMPACT_CAM,OUTLIER_NAV_IMPACT_LEV,OUTLIER_NAV_IMPACT_LG,OUTLIER_NAV_IMPACT_MACO,OUTLIER_NAV_IMPACT_MALT,OUTLIER_NAV_IMPACT_TAQ
51,LXFT - DXC,LXFT US EQUITY,32.8,32.8,-1.79,-0.9,-1.72,-4.33,-2.18,-0.9,-0.9,,-1.79,-0.9,-1.72,-4.33,-2.18,-0.9,-0.9,
52,MBFI - FITB,FITB US EQUITY,27.83,27.83,-0.02,-0.09,-0.02,-0.21,-0.02,-0.09,-0.09,,-0.02,-0.09,-0.02,-0.21,-0.02,-0.09,-0.09,
53,MBFI - FITB,MBFI US EQUITY,40.0,40.0,-0.08,-0.34,-0.07,-0.85,-0.09,-0.34,-0.34,,-0.08,-0.34,-0.07,-0.85,-0.09,-0.34,-0.34,
54,MRT - OHI,MRT US EQUITY,6.0,6.0,,-0.26,,-0.76,,-0.26,-0.26,,,-0.26,,-0.76,,-0.26,-0.26,
55,MRT - OHI,OHI US EQUITY,36.23,36.23,,-0.01,,-0.03,,-0.01,-0.01,,,-0.01,,-0.03,,-0.01,-0.01,
56,MXWL - TSLA,MXWL US EQUITY,2.0,2.0,-0.14,-0.14,-0.14,,-0.17,-0.14,-0.14,,-0.14,-0.14,-0.14,,-0.17,-0.14,-0.14,
57,MXWL - TSLA,TSLA US EQUITY,275.133,357.67289999999997,0.0,0.0,0.0,,0.0,0.0,0.0,,-0.01,-0.01,-0.01,,-0.02,-0.01,-0.01,
58,NAVG - HIG,NAVG US EQUITY,53.78,53.78,,-0.9,,-0.99,,-0.89,-0.89,,,-0.9,,-0.99,,-0.89,-0.89,
59,NCOM - CSFL,CSFL US EQUITY,26.12,33.956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,-0.03,-0.26,-0.03,-0.66,-0.04,-0.26,-0.26,
60,NCOM - CSFL,NCOM US EQUITY,34.16,34.16,-0.02,-0.17,-0.02,-0.44,-0.02,-0.17,-0.17,,-0.02,-0.17,-0.02,-0.44,-0.02,-0.17,-0.17,
61,NITE - BIIB,NITE US EQUITY,0.0,0.0,,-0.25,,,,-0.25,-0.25,,,-0.25,,,,-0.25,-0.25,
62,NTRI - TVTY,NTRI US EQUITY,26.65,26.65,,-0.98,,,,-0.98,-0.98,,,-0.98,,,,-0.98,-0.98,
63,NTRI - TVTY,TVTY US EQUITY,40.61,40.61,,-0.27,,,,-0.27,-0.27,,,-0.27,,,,-0.27,-0.27,
64,ONCE - ROG SW,ONCE US 04/18/19 P110 EQUITY,38.0,38.0,0.07,0.91,0.06,,0.08,0.92,0.9,,0.07,0.91,0.06,,0.08,0.92,0.9,
65,ONCE - ROG SW,ONCE US 06/21/19 P110 EQUITY,38.0,38.0,,0.78,,,,0.78,0.79,,,0.78,,,,0.78,0.79,
66,ONCE - ROG SW,ONCE US EQUITY,38.0,38.0,-0.79,-1.79,-0.76,,-0.96,-1.79,-1.79,,-0.79,-1.79,-0.76,,-0.96,-1.79,-1.79,
67,PACB - ILMN,PACB US EQUITY,4.22,4.22,-0.48,-0.24,-0.46,-0.74,-0.58,-0.24,-0.24,,-0.48,-0.24,-0.46,-0.74,-0.58,-0.24,-0.24,
68,RCII - VINTAGE,RCII US 03/15/19 C17 EQUITY,13.0,13.0,-0.01,-0.01,-0.01,-0.02,-0.01,-0.01,-0.01,,-0.01,-0.01,-0.01,-0.02,-0.01,-0.01,-0.01,
69,RCII - VINTAGE,RCII US 03/15/19 C18 EQUITY,13.0,13.0,0.0,0.0,0.0,-0.02,0.0,0.0,0.0,,0.0,0.0,0.0,-0.02,0.0,0.0,0.0,
70,RCII - VINTAGE,RCII US 03/15/19 C19 EQUITY,13.0,13.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,0.0,,0.0,0.0,,
71,RCII - VINTAGE,RCII US 03/15/19 C19.5 EQUITY,13.0,13.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,0.0,,0.0,0.0,,
72,RCII - VINTAGE,RCII US 03/15/19 C20 EQUITY,13.0,13.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,0.0,,0.0,0.0,,
73,RCII - VINTAGE,RCII US 04/18/19 C19 EQUITY,13.0,13.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,,0.0,0.0,0.0,0.01,0.0,0.0,0.0,
74,RCII - VINTAGE,RCII US 04/18/19 C20 EQUITY,13.0,13.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,,0.0,0.0,0.0,0.01,0.0,0.0,0.0,
